ticker,year,annual_return_pct
PFE,2008,-17.61
PFE,2009,4.88
PFE,2010,-3.61
PFE,2011,27.55
PFE,2012,18.62
PFE,2013,22.16
PFE,2014,5.86
PFE,2015,6.47
PFE,2016,5.5
PFE,2017,14.08
PFE,2018,24.07
PFE,2019,-6.05
PFE,2020,3.17
PFE,2021,66.7
PFE,2022,-6.61
PFE,2023,-41.29
PFE,2024,-5.31
PFE,2025,0.34
PFE,2026,6.76
SBUX,2000,79.47
SBUX,2001,-9.42
SBUX,2002,4.46
SBUX,2003,56.42
SBUX,2004,89.49
SBUX,2005,-1.83
SBUX,2006,14.74
SBUX,2007,-41.93
SBUX,2008,-51.01
SBUX,2009,134.35
SBUX,2010,41.3
SBUX,2011,40.47
SBUX,2012,20.16
SBUX,2013,44.42
SBUX,2014,7.92
SBUX,2015,49.32
SBUX,2016,-3.28
SBUX,2017,5.68
SBUX,2018,14.34
SBUX,2019,39.26
SBUX,2020,22.2
SBUX,2021,15.33
SBUX,2022,-12.96
SBUX,2023,-2.78
SBUX,2024,-0.04
SBUX,2025,-6.21
SBUX,2026,9.5
T,2000,4.52
T,2001,-19.87
T,2002,-28.81
T,2003,-2.9
T,2004,5.16
T,2005,2.71
T,2006,54.2
T,2007,24.86
T,2008,-25.92
T,2009,3.5
T,2010,11.73
T,2011,10.01
T,2012,18.97
T,2013,7.44
T,2014,3.01
T,2015,9.4
T,2016,32.22
T,2017,-3.57
T,2018,-20.08
T,2019,43.45
T,2020,-19.19
T,2021,-8.07
T,2022,2.99
T,2023,-4.44
T,2024,40.17
T,2025,13.68
T,2026,7.97
TMO,2000,98.33
TMO,2001,-4.36
TMO,2002,-14.38
TMO,2003,23.65
TMO,2004,20.62
TMO,2005,1.52
TMO,2006,49.57
TMO,2007,27.7
TMO,2008,-38.94
TMO,2009,34.87
TMO,2010,16.55
TMO,2011,-20.35
TMO,2012,37.28
TMO,2013,72.49
TMO,2014,14.84
TMO,2015,11.23
TMO,2016,2.12
TMO,2017,32.61
TMO,2018,16.31
TMO,2019,48.45
TMO,2020,43.06
TMO,2021,41.7
TMO,2022,-14.42
TMO,2023,-3.79
TMO,2024,-4.14
TMO,2025,11.28
TMO,2026,-2.35
TSLA,2010,11.47
TSLA,2011,7.29
TSLA,2012,20.62
TSLA,2013,325.42
TSLA,2014,48.17
TSLA,2015,9.44
TSLA,2016,-4.35
TSLA,2017,43.49
TSLA,2018,3.83
TSLA,2019,34.89
TSLA,2020,720.05
TSLA,2021,44.81
TSLA,2022,-69.2
TSLA,2023,129.86
TSLA,2024,62.56
TSLA,2025,18.57
TSLA,2026,-1.75
UNH,2000,128.5
UNH,2001,20.14
UNH,2002,18.62
UNH,2003,35.81
UNH,2004,49.17
UNH,2005,43.52
UNH,2006,-12.91
UNH,2007,10.77
UNH,2008,-53.02
UNH,2009,10.64
UNH,2010,15.92
UNH,2011,38.28
UNH,2012,6.89
UNH,2013,40.27
UNH,2014,37.79
UNH,2015,18.64
UNH,2016,39.81
UNH,2017,38.61
UNH,2018,14.16
UNH,2019,22.78
UNH,2020,21.86
UNH,2021,45.69
UNH,2022,6.91
UNH,2023,3.04
UNH,2024,-4.74
UNH,2025,-32.96
UNH,2026,-14.71
VZ,2000,-13.92
VZ,2001,-2.77
VZ,2002,-16.98
VZ,2003,-9.01
VZ,2004,19.72
VZ,2005,-22.16
VZ,2006,33.47
VZ,2007,20.33
VZ,2008,-17.16
VZ,2009,1.56
VZ,2010,22.01
VZ,2011,16.08
VZ,2012,14.29
VZ,2013,15.92
VZ,2014,-0.26
VZ,2015,3.22
VZ,2016,21.62
VZ,2017,1.69
VZ,2018,10.01
VZ,2019,14.24
VZ,2020,0.44
VZ,2021,-7.71
VZ,2022,-20.75
VZ,2023,0.87
VZ,2024,9.71
VZ,2025,8.27
VZ,2026,11.78
WFC,2000,45.4
WFC,2001,-17.65
WFC,2002,10.35
WFC,2003,24.91
WFC,2004,10.33
WFC,2005,4.89
WFC,2006,15.05
WFC,2007,-12.61
WFC,2008,5.52
WFC,2009,-7.81
WFC,2010,14.23
WFC,2011,-11.23
WFC,2012,23.45
WFC,2013,33.32
WFC,2014,25.16
WFC,2015,2.07
WFC,2016,7.51
WFC,2017,11.41
WFC,2018,-22.37
WFC,2019,19.22
WFC,2020,-41.59
WFC,2021,63.75
WFC,2022,-16.7
WFC,2023,21.47
WFC,2024,46.15
WFC,2025,35.67
WFC,2026,-4.95
WMT,2000,-20.11
WMT,2001,7.43
WMT,2002,-12.52
WMT,2003,3.5
WMT,2004,1.95
WMT,2005,-11.19
WMT,2006,1.37
WMT,2007,1.87
WMT,2008,21.62
WMT,2009,-4.49
WMT,2010,1.73
WMT,2011,12.53
WMT,2012,15.88
WMT,2013,16.44
WMT,2014,11.56
WMT,2015,-26.65
WMT,2016,15.73
WMT,2017,47.54
WMT,2018,-3.28
WMT,2019,29.9
WMT,2020,23.22
WMT,2021,0.31
WMT,2022,-0.44
WMT,2023,11.46
WMT,2024,72.2
WMT,2025,24.97
WMT,2026,5.66
XOM,2000,13.4
XOM,2001,-9.86
XOM,2002,-9.56
XOM,2003,18.84
XOM,2004,29.23
XOM,2005,14.4
XOM,2006,33.61
XOM,2007,28.51
XOM,2008,-12.94
XOM,2009,-14.54
XOM,2010,8.6
XOM,2011,16.39
XOM,2012,3.19
XOM,2013,17.19
XOM,2014,-4.69
XOM,2015,-13.15
XOM,2016,20.64
XOM,2017,-4.47
XOM,2018,-16.48
XOM,2019,4.92
XOM,2020,-37.22
XOM,2021,56.51
XOM,2022,80.48
XOM,2023,-2.93
XOM,2024,8.67
XOM,2025,16.26
XOM,2026,15.29
^DJI,2000,-5.01
^DJI,2001,-5.87
^DJI,2002,-17.19
^DJI,2003,21.45
^DJI,2004,3.58
^DJI,2005,-0.11
^DJI,2006,14.9
^DJI,2007,6.34
^DJI,2008,-32.72
^DJI,2009,15.42
^DJI,2010,9.39
^DJI,2011,4.69
^DJI,2012,5.7
^DJI,2013,23.59
^DJI,2014,8.4
^DJI,2015,-2.29
^DJI,2016,15.24
^DJI,2017,24.33
^DJI,2018,-6.03
^DJI,2019,22.24
^DJI,2020,6.02
^DJI,2021,20.23
^DJI,2022,-9.4
^DJI,2023,13.74
^DJI,2024,12.8
^DJI,2025,13.38
^DJI,2026,1.05
^GSPC,2000,-9.27
^GSPC,2001,-10.53
^GSPC,2002,-23.8
^GSPC,2003,22.32
^GSPC,2004,9.33
^GSPC,2005,3.84
^GSPC,2006,11.78
^GSPC,2007,3.65
^GSPC,2008,-37.58
^GSPC,2009,19.67
^GSPC,2010,11.0
^GSPC,2011,-1.12
^GSPC,2012,11.68
^GSPC,2013,26.39
^GSPC,2014,12.39
^GSPC,2015,-0.69
^GSPC,2016,11.24
^GSPC,2017,18.42
^GSPC,2018,-7.01
^GSPC,2019,28.71
^GSPC,2020,15.29
^GSPC,2021,28.79
^GSPC,2022,-19.95
^GSPC,2023,24.73
^GSPC,2024,24.01
^GSPC,2025,16.65
^GSPC,2026,1.17
^IXIC,2000,-40.2
^IXIC,2001,-14.9
^IXIC,2002,-32.52
^IXIC,2003,44.66
^IXIC,2004,8.41
^IXIC,2005,2.47
^IXIC,2006,7.65
^IXIC,2007,9.46
^IXIC,2008,-39.57
^IXIC,2009,39.02
^IXIC,2010,14.92
^IXIC,2011,-3.21
^IXIC,2012,14.0
^IXIC,2013,34.2
^IXIC,2014,14.31
^IXIC,2015,5.94
^IXIC,2016,9.79
^IXIC,2017,27.16
^IXIC,2018,-5.3
^IXIC,2019,34.6
^IXIC,2020,41.75
^IXIC,2021,23.2
^IXIC,2022,-33.89
^IXIC,2023,44.52
^IXIC,2024,30.78
^IXIC,2025,20.54
^IXIC,2026,0.97
^RUT,2000,-2.6
^RUT,2001,5.62
^RUT,2002,-21.37
^RUT,2003,41.86
^RUT,2004,16.18
^RUT,2005,5.12
^RUT,2006,15.15
^RUT,2007,-2.72
^RUT,2008,-33.72
^RUT,2009,23.63
^RUT,2010,22.43
^RUT,2011,-7.22
^RUT,2012,12.9
^RUT,2013,33.23
^RUT,2014,4.69
^RUT,2015,-5.25
^RUT,2016,22.42
^RUT,2017,12.45
^RUT,2018,-13.0
^RUT,2019,23.05
^RUT,2020,18.48
^RUT,2021,15.39
^RUT,2022,-22.5
^RUT,2023,15.78
^RUT,2024,10.8
^RUT,2025,11.21
^RUT,2026,4.21
